Date,Open,High,Low,Close,Volume
Mon Jul 06 2015 19:55:00 GMT-0400 (EDT),269.15,269.94,268.9,269.94,21.521991250000017
Mon Jul 06 2015 19:50:00 GMT-0400 (EDT),268.72,269.47,268.68,269.19,12.535312039999978
Mon Jul 06 2015 19:45:00 GMT-0400 (EDT),269.97,270,268.68,268.98,58.778402120000045
Mon Jul 06 2015 19:40:00 GMT-0400 (EDT),269.82,270.43,269.62,269.96,16.35267303999997
Mon Jul 06 2015 19:35:00 GMT-0400 (EDT),270.31,270.31,269.58,269.82,48.57133402999993
Mon Jul 06 2015 19:30:00 GMT-0400 (EDT),270.39,270.91,270,270.59,74.71309316999974
Mon Jul 06 2015 19:25:00 GMT-0400 (EDT),270.61,270.61,270.26,270.41,47.735697999999786
Mon Jul 06 2015 19:20:00 GMT-0400 (EDT),270.5,271.06,270.5,270.57,24.654254030000004
Mon Jul 06 2015 19:15:00 GMT-0400 (EDT),270.54,270.54,270.32,270.49,10.201697999999997
Mon Jul 06 2015 19:10:00 GMT-0400 (EDT),272.13,272.13,270.38,270.54,110.22548566000006
Mon Jul 06 2015 19:05:00 GMT-0400 (EDT),272.71,272.71,272.11,272.14,9.034369999999996
Mon Jul 06 2015 19:00:00 GMT-0400 (EDT),272.46,273,272.46,272.73,19.089700000000004
Mon Jul 06 2015 18:55:00 GMT-0400 (EDT),272.79,272.8,272.07,272.46,20.142100000000006
Mon Jul 06 2015 18:50:00 GMT-0400 (EDT),272.26,273.31,272.21,273.23,27.878599999999988
Mon Jul 06 2015 18:45:00 GMT-0400 (EDT),271.74,273.01,271.74,272.39,24.07899999999999
Mon Jul 06 2015 18:40:00 GMT-0400 (EDT),272,272.43,271.17,271.59,69.9961338800001
Mon Jul 06 2015 18:35:00 GMT-0400 (EDT),273.12,273.14,272,272.41,36.75699145000005
Mon Jul 06 2015 18:30:00 GMT-0400 (EDT),273.68,273.79,273.12,273.12,36.26820624999999
Mon Jul 06 2015 18:25:00 GMT-0400 (EDT),273.42,273.79,272.95,273.59,47.81189799999998
Mon Jul 06 2015 18:20:00 GMT-0400 (EDT),273.05,273.63,272.51,273.42,61.45349999999995
Mon Jul 06 2015 18:15:00 GMT-0400 (EDT),274.89,275.13,273.01,273.01,38.50503814999999
Mon Jul 06 2015 18:10:00 GMT-0400 (EDT),274.79,275.11,274.72,274.91,21.035600000000002
Mon Jul 06 2015 18:05:00 GMT-0400 (EDT),274.73,275.05,274.66,275.05,23.14540000000002
Mon Jul 06 2015 18:00:00 GMT-0400 (EDT),274.77,274.96,274.36,274.36,20.66530707999999
Mon Jul 06 2015 17:55:00 GMT-0400 (EDT),274.88,274.99,274.65,274.93,49.75545423000003
Mon Jul 06 2015 17:50:00 GMT-0400 (EDT),275.28,275.37,274.67,274.99,44.12299999999999
Mon Jul 06 2015 17:45:00 GMT-0400 (EDT),274.93,275.36,274.93,275.36,28.562500000000057
Mon Jul 06 2015 17:40:00 GMT-0400 (EDT),274.93,274.93,274.88,274.88,1
Mon Jul 06 2015 17:35:00 GMT-0400 (EDT),274.94,274.94,274.94,274.94,0.01805
Mon Jul 06 2015 17:25:00 GMT-0400 (EDT),274.94,274.94,274.94,274.94,0.01819
Mon Jul 06 2015 17:20:00 GMT-0400 (EDT),274.93,274.94,274.93,274.93,0.05
Mon Jul 06 2015 17:15:00 GMT-0400 (EDT),274.86,274.86,274.86,274.86,0.025
Mon Jul 06 2015 17:10:00 GMT-0400 (EDT),274.26,274.93,274.25,274.93,7.197599999999998
Mon Jul 06 2015 17:05:00 GMT-0400 (EDT),274.09,274.66,273.59,274.59,103.03060000000008
Mon Jul 06 2015 17:00:00 GMT-0400 (EDT),274.27,274.43,273.75,273.75,39.48270000000006
Mon Jul 06 2015 16:55:00 GMT-0400 (EDT),274.82,274.83,274.24,274.35,27.922800000000006
