Date,Open,High,Low,Close,Volume
13-Feb-15,269.15,269.94,268.9,269.94,21.521991250000017
13-Feb-15,268.72,269.47,268.68,269.19,12.535312039999978
13-Feb-15,269.97,270,268.68,268.98,58.778402120000045
13-Feb-15,269.82,270.43,269.62,269.96,16.35267303999997
13-Feb-15,270.31,270.31,269.58,269.82,48.57133402999993
13-Feb-15,270.39,270.91,270,270.59,74.71309316999974
13-Feb-15,270.61,270.61,270.26,270.41,47.735697999999786
13-Feb-15,270.5,271.06,270.5,270.57,24.654254030000004
13-Feb-15,270.54,270.54,270.32,270.49,10.201697999999997
13-Feb-15,272.13,272.13,270.38,270.54,110.22548566000006
13-Feb-15,272.71,272.71,272.11,272.14,9.034369999999996
13-Feb-15,272.46,273,272.46,272.73,19.089700000000004
13-Feb-15,272.79,272.8,272.07,272.46,20.142100000000006
13-Feb-15,272.26,273.31,272.21,273.23,27.878599999999988
13-Feb-15,271.74,273.01,271.74,272.39,24.07899999999999
13-Feb-15,272,272.43,271.17,271.59,69.9961338800001
13-Feb-15,273.12,273.14,272,272.41,36.75699145000005
13-Feb-15,273.68,273.79,273.12,273.12,36.26820624999999
13-Feb-15,273.42,273.79,272.95,273.59,47.81189799999998
13-Feb-15,273.05,273.63,272.51,273.42,61.45349999999995
13-Feb-15,274.89,275.13,273.01,273.01,38.50503814999999
13-Feb-15,274.79,275.11,274.72,274.91,21.035600000000002
13-Feb-15,274.73,275.05,274.66,275.05,23.14540000000002
12-Feb-15,274.77,274.96,274.36,274.36,20.66530707999999
12-Feb-15,274.88,274.99,274.65,274.93,49.75545423000003
12-Feb-15,275.28,275.37,274.67,274.99,44.12299999999999
12-Feb-15,274.93,275.36,274.93,275.36,28.562500000000057
12-Feb-15,274.93,274.93,274.88,274.88,1
12-Feb-15,274.94,274.94,274.94,274.94,0.01805
12-Feb-15,274.94,274.94,274.94,274.94,0.01819
12-Feb-15,274.93,274.94,274.93,274.93,0.05
12-Feb-15,274.86,274.86,274.86,274.86,0.025
12-Feb-15,274.26,274.93,274.25,274.93,7.197599999999998
12-Feb-15,274.09,274.66,273.59,274.59,103.03060000000008
12-Feb-15,274.27,274.43,273.75,273.75,39.48270000000006
12-Feb-15,274.82,274.83,274.24,274.35,27.922800000000006
12-Feb-15,274.79,274.99,274.63,274.82,10.710871999999998
12-Feb-15,274.15,274.84,273.63,274.84,54.93739999999998
12-Feb-15,273.67,274.35,273.67,274.19,14.855799999999995
12-Feb-15,273.03,273.66,272.75,273.66,59.005559149999925
12-Feb-15,272.93,273.42,272.78,273.01,15.181295999999993
12-Feb-15,273.6,273.71,272.75,273.15,31.57822057000007
12-Feb-15,273.73,273.84,273.53,273.6,51.92862519000001
12-Feb-15,273.62,273.79,273.5,273.74,11.362197999999996
12-Feb-15,273.95,274,273.68,273.71,56.40559799999995
12-Feb-15,273.87,274,273.83,273.93,18.51110000000001
12-Feb-15,275.28,275.31,273.3,273.87,38.26830696000002
12-Feb-15,275.62,275.62,275.28,275.28,21.629675740000017
12-Feb-15,275.51,276,275.51,276,37.49529999999999
12-Feb-15,275.82,276.49,275.42,275.56,64.35619999999989
11-Feb-15,275.71,276,275.68,275.77,62.04199999999992
11-Feb-15,275.94,275.95,275.67,275.75,17.6453
11-Feb-15,275.8,275.97,275.39,275.95,63.48479999999997
11-Feb-15,275.49,275.97,275.49,275.5,45.796620440000005
11-Feb-15,275.26,275.5,275,275.27,68.38498084999999
11-Feb-15,275.22,275.36,274.72,275.14,41.39229999999997
11-Feb-15,275.22,275.39,275.19,275.19,30.671320570000002
11-Feb-15,275.49,275.5,275.09,275.09,39.38959999999998
11-Feb-15,275.49,275.5,275.48,275.49,34.38886230999999
11-Feb-15,274.14,275.5,274.14,275.5,109.61462477000012
11-Feb-15,273.7,274.14,273.68,274.13,25.078366350000003
11-Feb-15,273.34,273.73,273.1,273.71,25.3878
11-Feb-15,272.95,273.36,272.95,273.34,27.910719850000003
11-Feb-15,274.26,274.38,272.23,272.93,116.40690000000012
11-Feb-15,273.4,274.38,273.19,274.38,11.36168692
11-Feb-15,273.28,274.39,272.56,274.35,61.77766275999993
11-Feb-15,273.8,274.35,272.81,274.35,23.065886850000005
11-Feb-15,273.77,274.48,272.81,273.82,38.77820000000002
11-Feb-15,272.92,274.5,272.81,273.76,23.44020000000001
11-Feb-15,273.77,274.65,272.7,274.65,45.590699999999984
11-Feb-15,274.45,274.5,273.76,273.76,52.98740000000001
11-Feb-15,273.65,274.99,273.57,273.78,48.770100000000006
11-Feb-15,274.01,275,273.5,274.8,37.598200000000006
11-Feb-15,274.86,275.34,273.6,274.13,53.96859999999997
11-Feb-15,273.52,275,273.51,274.08,18.48040000000001
11-Feb-15,273.5,275,273.49,273.49,275.89309999999966
11-Feb-15,273.36,273.5,272.85,273.5,68.74559999999994
11-Feb-15,272.41,273.35,272.41,273.35,21.908199999999997
11-Feb-15,272.39,272.79,271.99,272.45,58.44228317
10-Feb-15,272.39,272.79,272.35,272.39,64.38409999999996
10-Feb-15,273.47,273.73,272.39,272.39,36.93000000000002
10-Feb-15,273.61,273.62,273.45,273.46,18.02768
10-Feb-15,273.69,274,272.99,273.49,102.45522312000001
10-Feb-15,273.84,273.92,273.66,273.82,25.469099999999997
10-Feb-15,272.98,274.51,272.98,274.19,100.35400000000004
10-Feb-15,272.48,273,272.26,272.93,44.62051433000003
10-Feb-15,272.22,273.5,272.06,272.4,97.19590000000007
10-Feb-15,271.9,272.24,271.72,272.24,58.93669999999998
10-Feb-15,274.06,274.06,271.5,271.87,54.69006483999998
10-Feb-15,272.61,273.9,272.57,273.9,12.027883969999998
10-Feb-15,273.37,273.42,272.07,272.6,172.9036020099999
10-Feb-15,276.87,277.14,273.38,273.38,116.06977779000027
10-Feb-15,277,277.19,276.7,276.98,55.81460232999996
10-Feb-15,277,277,276.99,276.99,50.58362399999999
10-Feb-15,276.96,277,276.74,276.99,103.19509223999995
10-Feb-15,276.99,276.99,276.95,276.96,24.37967
10-Feb-15,276.99,277,276.98,276.99,14.332559419999999
10-Feb-15,276.25,277,276.24,276.99,77.10717914999991
10-Feb-15,275,276.25,275,276.25,199.13327134999992
10-Feb-15,274.99,275,274.99,274.99,42.50259181
10-Feb-15,274.99,275,274.87,275,16.0296
10-Feb-15,274.47,275,274.31,275,103.58200000000012
10-Feb-15,273.72,274.79,273.7,274.79,100.83240000000004
10-Feb-15,274.44,274.44,273.71,273.97,27.40220000000003
10-Feb-15,275.23,275.32,274.01,274.1,84.18430000000005
10-Feb-15,275.59,275.72,275.14,275.23,34.68667000000002
10-Feb-15,275.51,275.91,275.12,275.5,23.763157010000004
10-Feb-15,275.81,276.18,275.5,275.5,49.67919999999995
9-Feb-15,275.78,276,275.67,275.8,17.890616770000012
9-Feb-15,275.5,276.08,275.23,275.99,130.16950000000003
9-Feb-15,276.12,276.12,275.49,275.5,50.00488038000001
9-Feb-15,276.51,276.51,275.78,276.12,60.7915
9-Feb-15,276.5,277.16,276.44,276.57,56.006480000000025
9-Feb-15,275.87,276.5,275.78,276.5,82.28638000000001
9-Feb-15,276.03,276.44,275.78,275.88,59.53849999999996
9-Feb-15,275.87,276.22,275.87,275.9,47.61180000000005
9-Feb-15,275.67,275.88,275.66,275.88,20.943243999999996
9-Feb-15,274.99,275.68,274.99,275.61,24.67700000000005
9-Feb-15,274.99,275,274.95,275,18.3636
9-Feb-15,274.56,275,274.52,275,13.976799999999999
9-Feb-15,274.56,274.76,273.98,274.76,51.54360000000002
9-Feb-15,275.55,275.79,274.22,274.22,25.6491
9-Feb-15,275.58,275.82,275.52,275.54,8.838425589999996
9-Feb-15,275.83,275.88,275.58,275.59,28.952571030000037
9-Feb-15,275.87,275.88,275.77,275.86,21.312899999999996
9-Feb-15,275.71,275.88,275.58,275.88,20.246299999999994
9-Feb-15,277.2,277.2,275.69,275.75,54.58513486999993
9-Feb-15,277,277.88,276.92,277.02,62.35039999999992
9-Feb-15,276.21,277,275.51,277,135.62167584999992
9-Feb-15,275,276.47,274.97,276.09,32.72964542000001
9-Feb-15,274.73,275,274.73,275,38.296899999999994
9-Feb-15,274.71,274.87,274.62,274.76,12.550499999999992
9-Feb-15,274.71,274.71,274.56,274.71,11.385900000000001
9-Feb-15,274.87,274.87,274.7,274.71,25.195649970000016
9-Feb-15,274.71,274.9,274.38,274.89,78.71927977999998
9-Feb-15,273.89,274.83,273.89,274.66,15.935299999999996
9-Feb-15,274.31,274.31,273.74,273.89,16.3221
8-Feb-15,273.57,274.39,273.56,274.33,18.807999999999996
8-Feb-15,273.96,274.07,273.51,273.51,57.003899999999994
8-Feb-15,274.02,274.02,273.8,273.97,22.887556630000002
8-Feb-15,274.24,274.25,273.73,273.73,30.503000000000007
8-Feb-15,274.54,274.55,273.83,274.24,26.97027866000002
8-Feb-15,274.17,274.89,273.83,274.55,62.95749999999999
8-Feb-15,272.99,274.36,272.94,274.26,68.25779999999997
8-Feb-15,273.01,273.26,272.97,272.99,34.324642680000004
8-Feb-15,272.79,273.13,272.67,273.06,35.65309603999999
8-Feb-15,272,272.9,272,272.8,13.94614950999999
8-Feb-15,271.71,272,271.64,272,8.716701599999997
8-Feb-15,271.62,271.77,271.56,271.73,5.2252
8-Feb-15,271.54,271.99,271.51,271.66,24.152800000000013
8-Feb-15,271.33,271.55,271.31,271.55,20.423700000000018
8-Feb-15,271.24,271.41,271,271.41,7.6831
8-Feb-15,270.88,271.32,270.88,271.26,10.929399999999994
8-Feb-15,270.64,270.89,270.64,270.89,7.199799999999999
8-Feb-15,270.78,270.79,270.61,270.77,3.5419
8-Feb-15,270.66,270.82,270.58,270.79,14.340299999999992
8-Feb-15,271.04,271.04,270.56,270.56,2.9683000000000006
8-Feb-15,271.82,271.83,270.91,270.91,47.34168692999996
8-Feb-15,271.93,272.04,271.84,271.84,3.2428
8-Feb-15,271.57,271.93,271.57,271.93,9.036599999999995
8-Feb-15,271.44,271.58,271.44,271.57,2.1601
8-Feb-15,271.54,271.54,271.34,271.43,10.078419999999998
8-Feb-15,271.5,271.5,271.5,271.5,0.2313
8-Feb-15,271.84,271.84,271.5,271.5,5.849499999999997
8-Feb-15,271.84,271.84,271.84,271.84,3.29909
7-Feb-15,271.83,271.88,271.83,271.88,4.695
7-Feb-15,272.25,272.33,271.83,271.83,13.163199999999996
7-Feb-15,273.76,273.76,272.27,272.27,29.562729340000008
